id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code
6924,07FA,medium_airport,Ocean Reef Club Airport,25.325399,-80.274803,8,NA,US,US-FL,Key Largo,no,,OCA,07FA,07FA
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004,-158.6179962,66,NA,US,US-AK,Aleknagik,yes,,WKK,5A8,5A8
336537,AG-0001,medium_airport,Burton-Nibbs International Airport,17.621194,-61.798347,28,NA,AG,AG-10,Codrington,yes,TAPB,BBQ,TAPB,
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,AGGH,
4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,10,OC,SB,SB-WE,Munda,yes,AGGM,MUA,AGGM,
8,ANYN,medium_airport,Nauru International Airport,-0.547893,166.919525,22,OC,NR,NR-14,Yaren,yes,ANYN,INU,ANYN,
601314,AT98,medium_airport,[Duplicate] Wolf's Fang Runway,-71.5264,8.799459,3707,AN,AQ,AQ-U-A,Queen Maud Island,no,,WFR,AT98,
314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.748317,105.58416,4560,AS,CN,CN-15,Bayanhot,yes,ZBAL,AXF,ZBAL,
35179,AYBA,medium_airport,Baimuru Airport,-7.496955,144.821756,27,OC,PG,PG-GPK,Baimuru,yes,AYBA,VMU,AYBA,BMU
53,AYBK,medium_airport,Buka Airport,-5.422299,154.672698,11,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,AYBK,
35180,AYBM,medium_airport,Balimo Airport,-8.050000191,142.9329987,51,OC,PG,PG-WPD,Balimo,yes,AYBM,OPU,AYBM,BLI
54,AYCH,medium_airport,Chimbu Airport,-6.024290085,144.970993,4974,OC,PG,PG-CPK,Kundiawa,yes,AYCH,CMU,AYCH,
55,AYDU,medium_airport,Daru Airport,-9.08676,143.207993,20,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,AYDU,
56,AYGA,medium_airport,Goroka Airport,-6.081689835,145.3919983,5282,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA,AYGA,
57,AYGN,medium_airport,Gurney Airport,-10.3114996,150.3339996,88,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR,AYGN,
58,AYGR,medium_airport,Girua Airport,-8.80453968,148.3090057,311,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP,AYGR,
59,AYHK,medium_airport,Hoskins Airport,-5.463846,150.407327,66,OC,PG,PG-WBK,Kimbe,yes,AYHK,HKN,AYHK,
60,AYKM,medium_airport,Kerema Airport,-7.963610172,145.7709961,10,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA,AYKM,
61,AYKV,medium_airport,Kavieng Airport,-2.579400063,150.8079987,7,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG,AYKV,
62,AYMD,medium_airport,Madang Airport,-5.207079887,145.7890015,20,OC,PG,PG-MPM,Madang,yes,AYMD,MAG,AYMD,
63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.828212,144.299412,5388,OC,PG,PG-WHM,Mount Hagen,yes,AYMH,HGU,AYMH,
64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680,OC,PG,PG-SHM,Mendi,yes,AYMN,MDU,AYMN,
65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12,OC,PG,PG-MRL,Manus Island,yes,AYMO,MAS,AYMO,
66,AYNZ,large_airport,Nadzab Tomodachi International Airport,-6.567995,146.726544,239,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,AYNZ,
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380356,147.2200012,146,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,AYPY,
68,AYTK,medium_airport,Tokua Airport,-4.34046,152.380005,49,OC,PG,PG-EBR,Kokopo,yes,AYTK,RAB,AYTK,
69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10,OC,PG,PG-SAN,Vanimo,yes,AYVN,VAI,AYVN,
70,AYWD,medium_airport,Wapenamanda Airport,-5.635293,143.892231,5889,OC,PG,PG-EPW,Wapenamanda,yes,AYWD,WBM,AYWD,
71,AYWK,medium_airport,Wewak International Airport,-3.583830118,143.6690063,19,OC,PG,PG-ESW,Wewak,yes,AYWK,WWK,AYWK,
44941,AZ-0001,medium_airport,Zabrat Airport,40.494884,49.977065,36,AS,AZ,AZ-BA,Zabrat,no,UBTT,ZXT,UBTT,
27301,BCW,medium_airport,Benguera Island Airport,-21.8533,35.438301,,AF,MZ,MZ-I,Benguera Island,no,,BCW,,
111,BG-JAM,medium_airport,Bezmer Air Base,42.454899,26.3522,509,EU,BG,BG-28,Bezmer,no,,JAM,LBIA,
31697,BGAA,medium_airport,Aasiaat Airport,68.721802,-52.784698,74,NA,GL,GL-QK,Aasiaat,yes,BGAA,JEG,BGAA,
30839,BGCO,medium_airport,Neerlerit Inaat Airport,70.743103,-22.650499,45,NA,GL,GL-SE,Neerlerit Inaat,yes,BGCO,CNP,BGCO,
114,BGGH,large_airport,Nuuk International Airport,64.191066,-51.67914,283,NA,GL,GL-SE,Nuuk,yes,BGGH,GOH,BGGH,
31694,BGJN,medium_airport,Ilulissat Airport,69.243202,-51.057098,95,NA,GL,GL-AV,Ilulissat,yes,BGJN,JAV,BGJN,
31786,BGKK,medium_airport,Kulusuk Airport,65.573601,-37.1236,117,NA,GL,GL-SE,Kulusuk,yes,BGKK,KUS,BGKK,
32004,BGQQ,medium_airport,Qaanaaq Airport,77.488602,-69.388702,51,NA,GL,GL-AV,Qaanaaq,yes,BGQQ,NAQ,BGQQ,
115,BGSF,medium_airport,Kangerlussuaq International Airport,67.010446,-50.715294,165,NA,GL,GL-QA,Kangerlussuaq,yes,BGSF,SFJ,BGSF,
31700,BGSS,medium_airport,Sisimiut Airport,66.951302,-53.729301,33,NA,GL,GL-QA,Sisimiut,yes,BGSS,JHS,BGSS,
116,BGTL,medium_airport,Pituffik Space Base,76.53063,-68.700541,251,NA,GL,GL-AV,Pituffik,yes,BGTL,THU,BGTL,
117,BIAR,large_airport,Akureyri International Airport,65.656573,-18.072018,6,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,BIAR,
118,BIBD,medium_airport,Bildudalur Airport,65.641296,-23.5462,18,EU,IS,IS-4,Bildudalur,no,BIBD,BIU,BIBD,
119,BIEG,medium_airport,EgilsstaÃ°ir Airport,65.28330231,-14.40139961,76,EU,IS,IS-7,EgilsstaÃ°ir,yes,BIEG,EGS,BIEG,
31549,BIGR,medium_airport,GrÃ­msey Airport,66.5458,-18.0173,66,EU,IS,IS-6,GrÃ­msey/SandvÃ­k,yes,BIGR,GRY,BIGR,
120,BIHN,medium_airport,HornafjÃ¶rÃ°ur Airport,64.295601,-15.2272,24,EU,IS,IS-8,HÃ¶fn,yes,BIHN,HFN,BIHN,
121,BIHU,medium_airport,HÃºsavÃ­k Airport,65.952301,-17.426001,48,EU,IS,IS-6,HÃºsavÃ­k,no,BIHU,HZK,BIHU,
122,BIIS,medium_airport,ÃsafjÃ¶rÃ°ur Airport,66.058098,-23.1353,8,EU,IS,IS-4,ÃsafjÃ¶rÃ°ur,yes,BIIS,IFJ,BIIS,
123,BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171,EU,IS,IS-2,ReykjavÃ­k,yes,BIKF,KEF,BIKF,
125,BIRK,medium_airport,ReykjavÃ­k Domestic Airport,64.128732,-21.93759,48,EU,IS,IS-1,ReykjavÃ­k,yes,BIRK,RKV,BIRK,
31973,BIRL,medium_airport,MÃ½vatn Airport,65.6558,-16.9181,1030,EU,IS,IS-6,Myvatn,no,BIRL,MVA,BIRL,
126,BISI,medium_airport,SiglufjÃ¶rÃ°ur Airport,66.137847,-18.908157,10,EU,IS,IS-6,SiglufjÃ¶rÃ°ur,no,BISI,SIJ,BISI,
128,BIVM,medium_airport,Vestmannaeyjar Airport,63.42430115,-20.27890015,326,EU,IS,IS-8,Vestmannaeyjar,no,BIVM,VEY,BIVM,
32593,BIVO,medium_airport,VopnafjÃ¶rÃ°ur Airport,65.720596,-14.8506,16,EU,IS,IS-7,VopnafjÃ¶rÃ°ur,yes,BIVO,VPN,BIVO,
4614,BKPR,large_airport,PriÅ¡tina Adem Jashari International Airport,42.5728,21.035801,1789,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,BKPR,
333222,BR-0569,medium_airport,Glauber de Andrade Rocha Airport,-14.907885,-40.914804,2940,SA,BR,BR-BA,VitÃ³ria da Conquista,yes,SBVC,VDC,SBVC,BA0005
353792,BTZ,medium_airport,Betong International Airport,5.79,101.15,785,AS,TH,TH-95,Betong,no,VTSY,BTZ,VTSY,
34946,BY-0001,medium_airport,Orsha Airport - Balbasovo Air Base,54.439999,30.2967,620,EU,BY,BY-VI,Orsha,no,,TXC,UMIO,
30861,BZ-CUK,medium_airport,Caye Caulker Airport,17.735015,-88.032862,2,NA,BZ,BZ-BZ,Caye Caulker,yes,,CUK,MZCK,
30867,BZ-CYC,medium_airport,Caye Chapel Airport,17.683792,-88.044985,3,NA,BZ,BZ-BZ,Caye Chapel,yes,,CYC,MZCP,
42209,BZ-CZH,medium_airport,Corozal Airport,18.3822,-88.411903,40,NA,BZ,BZ-CZL,Corozal,yes,,CZH,MZCZ,
42207,BZ-DGA,medium_airport,Dangriga Airport,16.98251,-88.230988,10,NA,BZ,BZ-SC,Dangriga,yes,,DGA,MZPB,
42210,BZ-SJX,medium_airport,Sartaneja Airport,18.3561,-88.130798,3,NA,BZ,BZ-CZL,Sartaneja,no,,SJX,MZSJ,
32370,BZ-SPR,medium_airport,John Greif II Airport,17.9139,-87.9711,4,NA,BZ,BZ-CY,San Pedro,yes,,SPR,MZSP,
42215,BZ-TZA,medium_airport,Sir Barry Bowen Municipal Airport,17.517239,-88.195775,8,NA,BZ,BZ-BZ,Belize City,yes,,TZA,MZBE,
27300,BZB,medium_airport,Bazaruto Island Airport,-21.5411,35.4729,,AF,MZ,MZ-I,Bazaruto Island,no,,BZB,,
624,CAJ4,medium_airport,Anahim Lake Airport,52.451501,-125.303776,3635,NA,CA,CA-BC,Anahim Lake,yes,,YAA,CAJ4,CAJ4
643,CAT4,medium_airport,Qualicum Beach Airport,49.337456,-124.393086,191,NA,CA,CA-BC,Qualicum Beach,yes,,XQU,CAT4,CAT4
657,CAZ5,medium_airport,Cache Creek-Ashcroft Regional Airport,50.775258,-121.321314,2034,NA,CA,CA-BC,Cache Creek,no,,YZA,CAZ5,CAZ5
664,CBBC,medium_airport,Bella Bella (Campbell Island) Airport,52.185001,-128.156994,141,NA,CA,CA-BC,Bella Bella,yes,CBBC,ZEL,CBBC,CBBC
323881,CN-0062,medium_airport,Bazhong Enyang Airport,31.73842,106.644872,1804,AS,CN,CN-51,Bazhong,yes,ZUBZ,BZX,ZUBZ,BZX
44157,CN-0079,medium_airport,Shaoguan Danxia Airport,24.9786,113.420998,280,AS,CN,CN-44,Shaoguan,yes,ZGSG,HSC,ZGSG,
44159,CN-0081,medium_airport,Jinggangshan Airport,26.856899,114.737,281,AS,CN,CN-36,Ji'an,yes,ZSGS,JGS,ZSGS,
